Name,Country2,Fixed,FlexibleFloat and Pegged Float2012,Exchrate2012,inflation %2012,infdec2012,GDP growth (annual %)2012,exclude,GDPdec2012,Government Spending2012,index of human capital2012,Capital formation %GDP2012,capformdec2012,Exchrate2019,GDP growth (annual %)2019,GDPdec2019,inflation %2019,infdec2019,Government Spending2019,index of human capital2019,Capital formation %GDP2019,capformdec2019
Ukraine,Ukraine,,Stabilized Arrange.,0,8.2,0.0820,0.2,0,0.002,29.4,3.16,20,0.200,0,3.221483145,0.032214831,7.886717456,0.078867175,46.9,3.28966856,14.88585739,0.148858574
United Kingdom,United Kingdom,,Free Floating,0,1.7,0.0170,0.7,0,0.007,27.7,2.823,17,0.170,0,1.370814722,0.013708147,1.738104601,0.017381046,48.2,3.773596048,18.26158238,0.182615824
United States,United States,,Free Floating,0,1.8,0.0180,2.3,0,0.023,47.8,3.619,20,0.200,0,2.161176515,0.021611765,1.812210075,0.018122101,57.1,3.749341488,21.30454966,0.213045497
Vietnam,Vietnam,,Stabilized Arrange.,0,10.9,0.1090,5.2,0,0.052,72.4,2.165,27,0.270,0,7.017434882,0.070174349,2.795823675,0.027958237,74.1,2.869997978,26.84383938,0.268438394
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sources: Human capital data https://www.rug.nl/ggdc/productivity/pwt/?lang=en,,,,,,,,,,,,,,,,,,,,,,
"GDP growth, inflation, and capital formation data https://databank.worldbank.org/source/world-development-indicators#",,,,,,,,,,,,,,,,,,,,,,
government spending data https://www.heritage.org/index/visualize,,,,,,,,,,,,,,,,,,,,,,
Exchange rate data: https://www.elibrary-areaer.imf.org/Pages/ChapterQuery.aspx,,,,,,,,,,,,,,,,,,,,,,
